phrase;opinion_value;standard_deviation;standard_error;phrase_type;manual_correction
absolut ebenbürtig;0.946;0.168;0.032;a;
absolut echt;0.932;0.171;0.035;a;
absolut edel;1.000;0.000;0.000;a;
absolut eigen;0.000;0.000;0.000;a;m
absolut eigenständig;1.000;0.000;0.000;a;
absolut eindrucksvoll;0.966;0.125;0.035;a;
absolut einfach;0.948;0.152;0.011;a;
absolut einleuchtend;0.938;0.165;0.074;a;
absolut einmalig;0.935;0.169;0.025;a;
absolut einzigartig;0.947;0.186;0.018;a;
absolut elegant;1.000;0.000;0.000;a;
absolut emotional;0.958;0.138;0.056;a;
absolut empfehlenswert;0.968;0.124;0.004;a;
absolut Empfehlung;0.993;0.059;0.007;n;
absolut Entdeckung;1.000;0.000;0.000;n;
absolut Entspannung;0.938;0.165;0.074;n;
absolut enttäuschend;-0.933;0.171;0.021;a;
absolut enttäuscht;-0.857;0.295;0.079;a;
absolut Enttäuschung;-0.957;0.140;0.018;n;
absolut erfrischend;0.954;0.145;0.030;a;
absolut ergreifend;1.000;0.000;0.000;a;
absolut erhalten;1.000;0.000;0.000;a;
absolut Erlebnis;0.942;0.161;0.029;n;
absolut erotisch;0.938;0.165;0.074;a;
absolut erschwinglich;1.000;0.000;0.000;a;
absolut erstaunt;0.984;0.087;0.031;a;
absolut erstklassig;0.957;0.140;0.017;a;
absolut erträglich;0.955;0.143;0.024;a;
absolut fabelhaft;0.966;0.125;0.035;a;
absolut fair;0.956;0.142;0.012;a;
absolut fantastisch;1.000;0.000;0.000;a;
absolut faszinierend;0.915;0.188;0.016;a;
absolut fasziniert;0.906;0.195;0.025;a;
absolut Fehlkauf;-0.991;0.067;0.009;n;
absolut fesselnd;0.979;0.101;0.012;a;
absolut festen;0.000;0.000;0.000;a;m
absolut fett;0.938;0.165;0.052;a;
absolut Feuerwerk;1.000;0.000;0.000;n;
absolut filmreif;1.000;0.000;0.000;a;
absolut Frechheit;-0.989;0.072;0.011;n;
absolut froh;1.000;0.000;0.000;a;
absolut funktional;1.000;0.000;0.000;a;
absolut Gänsehaut;0.931;0.173;0.040;n;
absolut gefangen;1.000;0.000;0.000;a;
absolut gefesselt;0.987;0.079;0.009;a;
absolut gefühlvoll;0.989;0.073;0.018;a;
absolut geglückt;0.986;0.117;0.039;a;
absolut gehalten;0.000;0.000;0.000;a;m
absolut Geheimtipp;1.000;0.000;0.000;n;
absolut geil;0.952;0.177;0.025;a;
absolut Geldverschwendung;-0.942;0.161;0.029;n;
absolut gelohnt;0.977;0.104;0.008;a;
absolut gelungen;0.967;0.124;0.012;a;
absolut gelungen Meisterwerk;1.000;0.000;0.000;n;
absolut genau;0.998;0.033;0.006;a;
absolut genial;0.984;0.121;0.007;a;
absolut genialsten;1.000;0.000;0.000;a;
absolut Geniestreich;0.958;0.138;0.033;n;
absolut genügend;0.973;0.113;0.043;a;
absolut Genuss;0.956;0.142;0.016;n;
absolut geräuschlos;0.904;0.197;0.022;a;
absolut gerecht;0.902;0.198;0.023;a;
absolut gerechtfertigt;0.961;0.134;0.009;a;
absolut gespannt;1.000;0.000;0.000;a;
absolut gestochen;0.000;0.000;0.000;a;m
absolut gewaltfrei;0.993;0.059;0.020;a;
absolut gewaltig;0.958;0.138;0.056;a;
absolut gigantisch;0.925;0.178;0.028;a;
absolut Glanzleistung;0.979;0.100;0.026;n;
absolut glaubhaft;0.950;0.150;0.018;a;
absolut glaubwürdig;0.930;0.174;0.013;a;
absolut glaubwürdig darstellen;0.906;0.195;0.069;a;
absolut gleichwertig;0.945;0.156;0.028;a;
absolut glücklich;0.975;0.109;0.014;a;
absolut Glücksfall;0.973;0.113;0.030;n;
absolut Glücksgriff;0.992;0.062;0.007;n;
absolut goldrichtig;1.000;0.000;0.000;a;
absolut grandios;1.000;0.000;0.000;a;
absolut greifbar;1.000;0.000;0.000;a;
absolut groß;0.981;0.096;0.020;a;
absolut großartig;1.000;0.000;0.000;a;
absolut grün;0.000;0.000;0.000;a;m
absolut gründlich;0.958;0.138;0.040;a;
absolut günstig;0.916;0.187;0.027;a;
absolut gut;0.896;0.252;0.031;a;
absolut gut gefallen;1.000;0.000;0.000;a;
absolut gut gelungen;0.966;0.125;0.035;a;
absolut gut Qualität;0.973;0.113;0.043;n;
absolut Hammer;0.953;0.246;0.018;n;
absolut handlich;1.000;0.000;0.000;a;
absolut harmonisch;0.906;0.195;0.069;a;
absolut hart;0.000;0.000;0.000;a;m
absolut herrlich;0.962;0.132;0.026;a;
absolut Highlight;0.969;0.158;0.023;n;
absolut hilfreich;1.000;0.000;0.000;a;
absolut himmlisch;1.000;0.000;0.000;a;
absolut hinreißen;0.912;0.190;0.038;a;
absolut hinreißend;0.986;0.117;0.028;a;
absolut Hit;0.980;0.098;0.020;n;
absolut hoch;0.966;0.125;0.035;a;
absolut hoch Niveau;0.929;0.175;0.047;n;
absolut Hochform;0.969;0.121;0.027;n;
absolut hochklassig;0.938;0.165;0.074;a;
absolut Hochspannung;0.973;0.113;0.025;n;
absolut Höchstform;0.966;0.125;0.020;n;
absolut hochwertig;0.960;0.136;0.011;a;
absolut hochwertig verarbeitet;1.000;0.000;0.000;a;
absolut hörbar;0.924;0.180;0.042;a;
absolut hörenswert;0.938;0.165;0.034;a;
absolut Hörerlebnis;0.973;0.113;0.030;n;
absolut Hörgenuss;1.000;0.000;0.000;n;
absolut humorvoll;0.958;0.138;0.056;a;
absolut inspirierend;1.000;0.000;0.000;a;
absolut intelligent;0.993;0.059;0.020;a;
absolut intuitiv;0.931;0.173;0.028;a;
absolut irre;0.938;0.165;0.052;a;
absolut Juwel;0.924;0.180;0.060;n;
absolut Katastrophe;-0.952;0.147;0.032;n;
absolut Kaufempfehlung;0.976;0.107;0.007;n;
absolut kaufenswert;0.941;0.162;0.025;a;
absolut Kauftipp;0.941;0.161;0.039;n;
absolut kein Fehler;1.000;0.000;0.000;n;
absolut kein Kaufempfehlung;-0.948;0.153;0.016;n;
absolut kein Langeweile;0.949;0.152;0.046;n;
absolut kein Spannung;-0.924;0.180;0.035;n;
absolut Kinderspiel;1.000;0.000;0.000;n;
absolut klar Kaufempfehlung;1.000;0.000;0.000;n;
absolut klasse;0.973;0.128;0.011;a;
absolut Klassiker;0.942;0.193;0.029;n;
absolut Knaller;0.946;0.214;0.032;n;
absolut Knüller;0.992;0.062;0.007;n;
absolut komfortabel;0.984;0.087;0.031;a;
absolut komisch;0.969;0.174;0.043;a;
absolut kompatibel;0.952;0.147;0.036;a;
absolut kompromisslos;1.000;0.000;0.000;a;
absolut konkurrenzfähig;1.000;0.000;0.000;a;
absolut konkurrenzlos;0.973;0.113;0.025;a;
absolut konstant;0.938;0.165;0.074;a;
absolut kostenlos;0.938;0.165;0.074;a;
absolut köstlich;1.000;0.000;0.000;a;
absolut kraftvoll;0.969;0.174;0.062;a;
absolut kratzfest;1.000;0.000;0.000;a;
absolut Kult;0.960;0.136;0.027;n;
absolut Kultfilm;1.000;0.000;0.000;n;
absolut kultig;0.929;0.175;0.047;a;
absolut Kunstwerk;1.000;0.000;0.000;n;
absolut kurzweilig;0.908;0.194;0.021;a;
absolut langweilig;-0.929;0.175;0.033;a;
absolut lebendig;0.958;0.138;0.056;a;
absolut lecker;0.984;0.087;0.018;a;
absolut leicht;0.903;0.197;0.027;a;
absolut leistungsfähig;1.000;0.000;0.000;a;
absolut leistungsstark;1.000;0.000;0.000;a;
absolut Lesegenuss;1.000;0.000;0.000;n;
absolut lesenswert;0.935;0.173;0.010;a;
absolut Lesevergnügen;0.962;0.133;0.037;n;
absolut liebenswert;0.902;0.198;0.022;a;
absolut Liebeserklärung;1.000;0.000;0.000;n;
absolut Lieblingsbuch;1.000;0.000;0.000;n;
absolut Lieblingsfilm;1.000;0.000;0.000;n;
absolut Lieblingsspiel;1.000;0.000;0.000;n;
absolut Lieblingsspielzeug;1.000;0.000;0.000;n;
absolut Lieblingsteil;1.000;0.000;0.000;n;
absolut logisch;0.927;0.177;0.021;a;
absolut logisch aufgebaut;0.958;0.138;0.056;a;
absolut lohnend;0.966;0.125;0.025;a;
absolut lohnenswert;1.000;0.000;0.000;a;
absolut Lust;0.969;0.121;0.027;n;
absolut lustig;0.987;0.079;0.010;a;
absolut Meilenstein;1.000;0.000;0.000;n;
absolut Meister;0.984;0.087;0.022;n;
absolut meisterhaft;1.000;0.000;0.000;a;
absolut Meisterleistung;1.000;0.000;0.000;n;
absolut Meisterwerk;1.000;0.000;0.000;n;
absolut minderwertig;-0.938;0.165;0.037;a;
absolut minderwertig Qualität;-1.000;0.000;0.000;n;
absolut Mist;-1.000;0.000;0.000;n;
absolut mitreißend;1.000;0.000;0.000;a;
absolut mittelmäßig;-0.400;0.000;0.000;a;m
absolut moderat;0.400;0.000;0.000;a;m
absolut motivierend;0.993;0.059;0.020;a;
absolut mühelos;0.938;0.165;0.074;a;
absolut Müll;-0.973;0.113;0.019;n;
absolut narrensicher;0.938;0.165;0.074;a;
absolut natürlich;0.980;0.097;0.016;a;
absolut Nervenkitzel;1.000;0.000;0.000;n;
absolut neuwertig;1.000;0.000;0.000;a;
absolut nicht bestätigen;0.000;0.000;0.000;a;m
absolut nicht empfehlenswert;-0.920;0.232;0.046;a;
absolut nicht kitschig;0.989;0.073;0.018;a;
absolut nicht langweilig;0.964;0.130;0.030;a;
absolut nicht lesenswert;-1.000;0.000;0.000;a;
absolut nicht sehenswert;-0.906;0.195;0.056;a;
absolut nicht tragisch;0.938;0.165;0.074;a;
absolut nötig;0.929;0.175;0.047;a;
absolut nützlich;0.915;0.187;0.045;a;
absolut Oberhammer;1.000;0.000;0.000;n;
absolut Ohrenschmaus;1.000;0.000;0.000;n;
absolut okay;0.727;0.249;0.075;a;
absolut packend;0.818;0.441;0.133;a;
absolut passgenau;0.997;0.040;0.005;a;
absolut perfekt;0.991;0.066;0.009;a;
absolut perfekt besetzt;1.000;0.000;0.000;a;
absolut perfekt gelungen;0.958;0.138;0.056;a;
absolut Perfektion;0.903;0.198;0.029;n;
absolut Perle;1.000;0.000;0.000;n;
absolut Pflichtfilm;1.000;0.000;0.000;n;
absolut Pflichtkauf;0.967;0.125;0.032;n;
absolut Pflichtlektüre;0.976;0.106;0.014;n;
absolut phantastisch;1.000;0.000;0.000;a;
absolut plastisch;1.000;0.000;0.000;a;
absolut positiv gemeint;0.984;0.087;0.031;a;
absolut positiv überrascht;0.945;0.156;0.015;a;
absolut praktisch;0.953;0.145;0.018;a;
absolut praxistauglich;0.906;0.195;0.049;a;
absolut preisgünstig;1.000;0.000;0.000;a;
absolut preiswert;0.995;0.050;0.008;a;
absolut prima;0.955;0.143;0.027;a;
absolut problemfrei;0.938;0.165;0.052;a;
absolut pünktlich;1.000;0.000;0.000;a;
absolut Qualität;0.949;0.152;0.046;n;
absolut Qualitätsprodukt;1.000;0.000;0.000;n;
absolut Quantensprung;0.938;0.165;0.074;n;
absolut real;1.000;0.000;0.000;a;
absolut realistisch;0.913;0.189;0.018;a;
absolut Referenz;0.962;0.133;0.037;n;
absolut Referenzklasse;1.000;0.000;0.000;n;
absolut rein;0.914;0.189;0.041;a;
absolut Reinfall;-0.922;0.220;0.039;n;
absolut Respekt;0.966;0.125;0.035;n;
absolut revolutionär;1.000;0.000;0.000;a;
absolut richtig;0.932;0.172;0.011;a;
absolut robust;1.000;0.000;0.000;a;
absolut robusten;0.993;0.059;0.020;a;
absolut rührend;1.000;0.000;0.000;a;
absolut rund;1.000;0.000;0.000;a;
absolut rutschfest;0.988;0.078;0.016;a;
absolut sauber;0.902;0.199;0.017;a;
absolut sauber verarbeitet;1.000;0.000;0.000;a;
absolut sauer;-0.958;0.138;0.056;a;
absolut Sauerei;-1.000;0.000;0.000;n;
absolut scharf;0.927;0.177;0.019;a;
absolut Scheiß;-0.938;0.165;0.074;n;
absolut schlecht;-0.900;0.374;0.063;a;
absolut schlechtesten;-0.926;0.178;0.031;a;
absolut schlüssig;0.932;0.171;0.025;a;
absolut schlüssig umgesetzt;1.000;0.000;0.000;a;
absolut schmerzfrei;1.000;0.000;0.000;a;
absolut Schmuckstück;1.000;0.000;0.000;n;
absolut Schnäppchen;0.929;0.174;0.017;n;
absolut schnell;0.966;0.125;0.013;a;
absolut schön;0.947;0.154;0.017;a;
absolut schönsten;1.000;0.000;0.000;a;
absolut Schrott;-1.000;0.000;0.000;n;
absolut Schund;-0.945;0.156;0.039;n;
absolut Schwachsinn;-1.000;0.000;0.000;n;
absolut Schweinerei;-1.000;0.000;0.000;n;
absolut sehenswert;0.921;0.250;0.023;a;
absolut sehr gut;0.984;0.087;0.031;a;
absolut selbsterklärend;0.938;0.165;0.030;a;
absolut sensationell;0.949;0.152;0.032;a;
absolut sinnlich;1.000;0.000;0.000;a;
absolut souverän;1.000;0.000;0.000;a;
absolut spannend;0.942;0.187;0.026;a;
absolut spannend erzählt;0.984;0.087;0.031;a;
absolut Spannung;0.950;0.150;0.047;n;
absolut Spaßfaktor;0.906;0.195;0.056;n;
absolut spaßig;0.973;0.113;0.043;a;
absolut spektakulär;0.938;0.165;0.052;a;
absolut spitze;0.973;0.114;0.012;a;
absolut Spitzenbuch;1.000;0.000;0.000;n;
absolut Spitzenfilm;1.000;0.000;0.000;n;
absolut Spitzengerät;0.998;0.033;0.006;n;
absolut Spitzenklasse;0.984;0.088;0.009;n;
absolut Spitzenleistung;0.938;0.165;0.074;n;
absolut Spitzenprodukt;1.000;0.000;0.000;n;
absolut Spitzenqualität;1.000;0.000;0.000;n;
absolut sprachlos;0.000;0.000;0.000;a;m
absolut spürbar;0.000;0.000;0.000;a;m
absolut Standardwerk;0.952;0.147;0.036;n;
absolut standfest;0.938;0.165;0.074;a;
absolut standsicher;1.000;0.000;0.000;a;
absolut Starbesetzung;1.000;0.000;0.000;n;
absolut stark;0.970;0.119;0.016;a;
absolut stimmig;0.904;0.197;0.015;a;
absolut störungsfrei;0.952;0.147;0.036;a;
absolut Suchtfaktor;0.945;0.157;0.022;n;
absolut Suchtgefahr;1.000;0.000;0.000;n;
absolut süchtig;0.000;0.000;0.000;a;m
absolut süchtig machend;1.000;0.000;0.000;a;
absolut Suchtpotential;0.990;0.069;0.013;n;
absolut Suchtpotenzial;0.977;0.104;0.022;n;
absolut super;0.959;0.181;0.017;a;
absolut super gelungen;0.938;0.165;0.074;a;
absolut süß;0.958;0.138;0.028;a;
absolut tadellos;0.906;0.195;0.034;a;
absolut Tiefpunkt;-0.850;0.320;0.072;n;
absolut toll;0.963;0.131;0.018;a;
absolut top;0.976;0.117;0.008;a;
absolut top Qualität;0.924;0.180;0.060;n;
absolut Top-Form;1.000;0.000;0.000;n;
absolut Top-Produkt;1.000;0.000;0.000;n;
absolut Top-Qualität;0.906;0.195;0.069;n;
absolut Topform;1.000;0.000;0.000;n;
absolut topp;0.984;0.087;0.018;a;
absolut tragbar;1.000;0.000;0.000;a;
absolut Traum;1.000;0.000;0.000;n;
absolut traumhaft;1.000;0.000;0.000;a;
absolut treffsicher;0.938;0.165;0.052;a;
absolut treu;0.920;0.183;0.039;a;
absolut überflüssig;-0.923;0.180;0.050;a;
absolut überirdisch;1.000;0.000;0.000;a;
absolut überragend;0.930;0.174;0.021;a;
absolut überrascht;0.987;0.080;0.010;a;
absolut Überraschung;0.910;0.192;0.029;n;
absolut übersichtlich;0.918;0.185;0.036;a;
absolut überwältigend;0.966;0.125;0.025;a;
absolut überwältigt;1.000;0.000;0.000;a;
absolut überzeugend;1.000;0.000;0.000;a;
absolut überzeugt;1.000;0.000;0.000;a;
absolut umwerfend;0.984;0.087;0.013;a;
absolut unauffällig;0.906;0.195;0.056;a;
absolut unbedenklich;1.000;0.000;0.000;a;
absolut unbegründet;0.000;0.000;0.000;a;m
absolut unberechtigt;0.000;0.000;0.000;a;m
absolut unbrauchbar;-0.953;0.181;0.028;a;
absolut uneingeschränkt;0.000;0.000;0.000;a;m
absolut uneingeschränkt empfehlenswert;1.000;0.000;0.000;a;
absolut uneingeschränkt Kaufempfehlung;1.000;0.000;0.000;n;
absolut unentbehrlich;0.938;0.165;0.052;a;
absolut unerfahren;0.000;0.000;0.000;a;m
absolut unerlässlich;0.938;0.165;0.074;a;
absolut ungeeignet;-0.778;0.342;0.081;a;
absolut ungewöhnlich;0.932;0.171;0.035;a;
absolut unglaublich;0.800;0.600;0.190;a;
absolut unlustig;-0.906;0.195;0.069;a;
absolut unnötig;-0.615;0.655;0.182;a;
absolut unschlagbar;1.000;0.013;0.001;a;
absolut unsichtbar;0.000;0.000;0.000;a;m
absolut untauglich;-0.962;0.133;0.037;a;
absolut unterhaltend;0.984;0.087;0.031;a;
absolut unterhaltsam;0.958;0.138;0.040;a;
absolut unterschiedlich;0.000;0.000;0.000;a;m
absolut unverzichtbar;0.933;0.170;0.032;a;
absolut unwiderstehlich;1.000;0.000;0.000;a;
absolut Verbesserung;1.000;0.000;0.000;n;
absolut verdient;0.000;0.000;0.000;a;m
absolut verlässlich;0.945;0.156;0.039;a;
absolut verschmerzbar;0.949;0.152;0.046;a;
absolut vielseitig;1.000;0.000;0.000;a;
absolut Volltreffer;1.000;0.000;0.000;n;
absolut Wahnsinn;0.995;0.049;0.005;n;
absolut wahrheitsliebend;1.000;0.000;0.000;a;
absolut warm;0.949;0.152;0.046;a;
absolut weit;1.000;0.000;0.000;a;
absolut weiterempfehlen;1.000;0.000;0.000;a;
absolut Weiterempfehlung;1.000;0.000;0.000;n;
absolut Weltklasse;0.992;0.063;0.008;n;
absolut wert;0.944;0.157;0.037;a;
absolut wertvoll;1.000;0.000;0.000;a;
absolut witzig;0.846;0.231;0.064;a;
absolut Wucht;0.971;0.118;0.020;n;
absolut wunderbar;0.928;0.176;0.025;a;
absolut wunderschön;1.000;0.000;0.000;a;
absolut wundervoll;0.997;0.040;0.009;a;
absolut würdig;0.947;0.154;0.015;a;
absolut zauberhaft;0.979;0.176;0.059;a;
absolut zeitlos;0.980;0.097;0.011;a;
absolut zeitlos Klassiker;0.938;0.165;0.074;n;
absolut Zeitverschwendung;-0.958;0.138;0.025;n;
absolut zufrieden;0.945;0.157;0.010;a;
absolut zufrieden gestellt;0.906;0.195;0.069;a;
absolut zufriedenstellend;0.816;0.241;0.055;a;
absolut zutreffend;0.966;0.125;0.025;a;
absolut zuverlässig;0.821;0.521;0.139;a;
absolut zweckmäßig;0.966;0.125;0.035;a;
absolut zwingend;0.000;0.000;0.000;a;m
absteigend;-0.429;0.372;0.085;a;
Abstieg;-0.341;0.717;0.153;n;
abstoßend;-0.857;0.515;0.138;a;
Absturz;-0.681;0.542;0.090;n;
absurd;-0.800;0.000;0.000;a;m
absurd Humor;1.000;0.000;0.000;n;
Abwechslung;0.750;0.286;0.056;n;
abwechslungsreich;0.777;0.306;0.032;a;
abwechslungsreich erzählen;0.511;0.073;0.018;a;
abwechslungsreich Lesevergnügen;0.438;0.165;0.074;n;
Abzocke;-0.870;0.423;0.027;n;
ach so modern;0.000;0.000;0.000;a;m
Action;0.721;0.394;0.025;n;
aktiv;0.529;0.606;0.147;a;
aktuell;-0.025;0.623;0.053;a;
aktuell besten;0.923;0.180;0.050;a;
aktuell günstig;0.949;0.152;0.046;a;
aktuell Hit;1.000;0.000;0.000;n;
aktuell neu;0.958;0.138;0.056;a;
akustisch;0.000;0.000;0.000;a;m
akut Suchtgefahr;0.000;0.000;0.000;n;m
akzeptabel;0.065;0.452;0.047;a;
albern;-0.435;0.648;0.135;a;
allabendlich verteilt;0.000;0.000;0.000;a;m
alle absolut Kaufempfehlung;0.958;0.138;0.056;n;
alle Humor;0.914;0.189;0.041;n;
alle klar Kaufempfehlung;0.984;0.087;0.022;n;
alle Müll;-0.938;0.165;0.074;n;
alle ohne Fehler;1.000;0.000;0.000;n;
alle zu vollsten Zufriedenheit;0.938;0.165;0.074;n;
alle zur besten Zufriedenheit;0.973;0.113;0.030;n;
alle zur vollsten Zufriedenheit;1.000;0.000;0.000;n;
allein optisch;0.000;0.000;0.000;a;m
allein schon sehenswert;0.924;0.180;0.060;a;
alleine schon wert;0.938;0.165;0.074;a;
alleine Spaß;0.906;0.195;0.049;n;
allemal komfortabel;1.000;0.000;0.000;a;
allenfalls dekorativ;-0.400;0.000;0.000;a;m
allenfalls nett;-0.562;0.165;0.074;a;
allerbesten;0.960;0.136;0.027;a;
allerbesten Freund;0.938;0.165;0.074;n;
allerdings angenehm;0.938;0.165;0.074;a;
allerdings dringend;0.000;0.000;0.000;a;m
allerdings etwas billig;0.000;0.000;0.000;a;m
allerdings etwas dick;0.000;0.000;0.000;a;m
allerdings etwas zu kurz;0.000;0.000;0.000;a;m
allerdings gigantisch;0.800;0.000;0.000;a;m
allerdings kein Fehler;0.473;0.113;0.043;n;
allerdings kein Punktabzug;1.000;0.000;0.000;n;
allerdings mächtig;0.973;0.113;0.043;a;
allerdings nicht genau;0.000;0.000;0.000;a;m
allerdings nicht minder spannend;1.000;0.000;0.000;a;
allerdings nicht sehr häufig;0.000;0.000;0.000;a;
allerdings nicht so extrem;0.000;0.000;0.000;a;m
allerdings nicht weit tragisch;0.438;0.165;0.074;a;
allerdings nicht wichtig;0.000;0.000;0.000;a;m
allerdings nötig;0.000;0.000;0.000;a;m
allerdings Pflicht;0.000;0.000;0.000;n;m
allerdings recht schwer;0.000;0.000;0.000;a;m
allerdings schnell langweilig;-0.400;0.000;0.000;a;m
allerdings sehr kurz;0.000;0.000;0.000;a;m
allerdings spürbar;0.000;0.000;0.000;a;m
allerdings typisch;0.062;0.165;0.074;a;
allerdings unbedingt;0.000;0.000;0.000;a;m
allerersten;0.400;0.000;0.000;a;m
allergrößten Respekt;0.993;0.059;0.014;n;
allergrößten Vergnügen;1.000;0.000;0.000;n;
allerhöchsten Niveau;0.941;0.162;0.013;n;
allerhöchsten Qualität;1.000;0.000;0.000;n;
allerhöchsten Respekt;0.958;0.138;0.056;n;
allerletzte Mist;-0.958;0.138;0.056;n;
allerliebsten;0.950;0.150;0.047;a;
allesamt begeistert;1.000;0.000;0.000;a;
allesamt grandios;0.906;0.195;0.069;a;
allesamt großartig;0.964;0.130;0.030;a;
allesamt hörenswert;0.906;0.195;0.069;a;
allesamt jung;0.938;0.165;0.074;a;
allesamt langweilig;-0.438;0.165;0.074;a;
allesamt liebenswert;1.000;0.000;0.000;a;
allesamt neu;0.938;0.165;0.074;a;
allesamt sehenswert;0.958;0.138;0.056;a;
allesamt sehr abwechslungsreich;0.924;0.180;0.060;a;
allesamt sehr überzeugend;0.973;0.113;0.043;a;
allesamt spitze;1.000;0.000;0.000;a;
allesamt super;0.938;0.165;0.043;a;
allesamt wirklich gelungen;1.000;0.000;0.000;a;
allesamt witzig;1.000;0.000;0.000;a;
allesamt wunderbar;1.000;0.000;0.000;a;
Alleskönner;0.924;0.224;0.021;n;
allgegenwärtig Angst;0.000;0.000;0.000;n;m
allgemein;0.000;0.000;0.000;a;m
allgemein akzeptiert;1.000;0.000;0.000;a;
allgemein beschäftigt;0.000;0.000;0.000;a;m
allgemein sehr gut;0.910;0.192;0.032;a;
allseits unbeliebt;-0.400;0.000;0.000;a;m
alltäglich;0.400;0.000;0.000;a;m
allzu eifrig;0.000;0.000;0.000;a;m
allzu festen;0.000;0.000;0.000;a;m
alphabetisch aufgelistet;0.000;0.000;0.000;a;m
alsbald gefährlich;-0.400;0.000;0.000;a;m
also absolut empfehlenswert;0.957;0.140;0.017;a;
also absolut Empfehlung;0.958;0.138;0.056;n;
also absolut Kaufempfehlung;0.977;0.105;0.015;n;
also bequem;0.929;0.175;0.047;a;
also bestens geeignet;0.938;0.165;0.052;a;
also dick;0.000;0.000;0.000;a;m
also durchaus gut;0.458;0.138;0.056;a;
also einfach gut;0.958;0.138;0.056;a;
also einfach klasse;1.000;0.000;0.000;a;
also einfach super;0.984;0.087;0.031;a;
also gelohnt;0.906;0.195;0.056;a;
also gewöhnungsbedürftig;0.562;0.165;0.074;a;
also kein Angst;0.965;0.127;0.015;n;
also kein Panik;0.981;0.096;0.020;n;
also kein Risiko;1.000;0.000;0.000;n;
also kein Sorge;0.962;0.132;0.026;n;
also klar Empfehlung;0.964;0.130;0.030;n;
also klar Kaufempfehlung;0.983;0.090;0.008;n;
also klasse;0.989;0.073;0.018;a;
also leise;0.400;0.000;0.000;a;m
also nicht billig;0.000;0.000;0.000;a;m
also nicht lang;0.000;0.000;0.000;a;m
also nicht so schwer;0.000;0.000;0.000;a;m
also nicht teuer;0.400;0.000;0.000;a;m
also nicht zu kurz;0.400;0.000;0.000;a;m
also nicht zu lang;0.400;0.000;0.000;a;m
also nie langweilig;1.000;0.000;0.000;a;
also noch besser;0.984;0.087;0.031;a;
also noch gut;0.400;0.000;0.000;a;m
also nötig;0.000;0.000;0.000;a;m
also nur positiv;1.000;0.000;0.000;a;
also ohne Bedenken;1.000;0.000;0.000;n;
also problemlos;0.906;0.195;0.034;a;
also ratsam;0.973;0.113;0.043;a;
also rundum zufrieden;0.983;0.091;0.013;a;
also Schrott;-0.938;0.165;0.074;n;
