G-word,E-word,WdNum,VAL_Mean,VAL_SD,ARO_Mean_(ANEW),ARO_SD_(ANEW),ARO_Mean_(BAWL),ARO_SD_(BAWL),DOM_Mean,DOM_SD,POT_Mean,POT_SD,IMA_MEAN,IMA_SD,freq_Leipzig,freq_SUBTLEX,#_letters,#_syllables,word_class,N_orth,HFN,NF_MAX,F_SUM
human,humane,796,1.9,0.74,4.15,1.69,2.05,0.94,5.81,1.37,5.43,1.81,2.67,1,4171,1.61,5,1,S,0,0,0,0
demütigen,humiliate,797,-1.8,1.74,6.6,1.27,3.85,0.78,4.63,2.14,4.25,2.27,3.52,1.5,63,4.02,9,4,V,0,0,0,0
Hurrikan,hurricane,798,-1.38,1.26,7.35,1.66,4.12,0.77,3.06,2.17,6.95,1.57,5.85,0.93,368,2.36,8,3,S,0,0,0,0
Kühlschrank,icebox,799,0.87,1.25,3.6,1.5,2.23,1.18,5.19,1.62,5.2,1.44,6.8,0.52,239,18.47,11,2,S,0,0,0,0
Idee,idea,800,1.53,0.99,5.7,1.72,2.96,1.22,6.38,1.24,5.13,1.86,2.5,1.99,4786,228.63,4,2,S,1,0,0,0
Identität,identity,801,1.38,1.2,5.35,1.35,2.85,1.05,6,1.57,6.18,1.47,2.75,1.94,1241,15.71,9,4,S,0,0,0,0
Idol,idol,802,0.73,1.44,5.1,1.59,2.81,0.94,5.25,1.21,5.73,1.43,3.2,1.79,218,1.77,4,2,S,0,0,0,0
Ignoranz,ignorance,803,-2.14,1.1,6.75,1.41,3.15,1.16,4.69,1.73,5.8,1.71,2.55,1.73,185,1.22,8,3,S,1,1,0.33,0.33
Gebrechen,illness,804,-1.6,1.06,5.85,1.31,3,1.06,3.88,1.48,5.13,1.54,3.55,1.5,39,0.28,9,3,S,1,1,12,12
vorstellen,imagine,805,1.56,0.93,4.65,1.73,2.53,1.02,6.13,1.21,4.83,1.36,3.42,2.18,2776,101.85,10,3,V,1,0,6.33,6.33
unreif,immature,806,-1.13,0.89,5.1,1.74,2.85,1.16,5.69,1.78,3.79,1.69,3.43,1.25,16,2.4,6,2,A,1,1,2,2
unmoralisch,immoral,807,-1.6,1.45,6.45,1.47,3.54,0.95,5.25,1.79,5.35,1.91,2.86,1.39,72,2.68,11,4,A,0,0,0,0
befallen,impair,808,-1.4,0.97,5.7,1.22,3.33,1.12,4.06,1.17,6,1.9,2.89,1.05,390,2.2,8,3,V,2,1,67.67,67.67
Anreiz,incentive,809,1.3,0.66,5.95,1.54,3.74,1.1,5.38,0.8,5.58,1.24,2.27,1.42,341,1.69,6,2,S,0,0,0,0
gleichgültig,indifferent,810,-1,1.2,3.35,1.87,2.12,0.91,5.38,0.88,3.84,1.92,3.19,1.17,246,4.92,12,3,A,0,0,0,0
minderwertig,inferior,812,-1.8,1.01,6.5,1.19,3.5,1.07,4.38,1.58,5.25,1.84,2.2,1.47,15,0.59,12,4,A,0,0,0,0
Einwohner,inhabitant,813,0.07,0.26,4.05,1.79,2.19,1.02,4.94,0.89,4.38,1.29,4.25,1.92,1939,7.4,9,3,S,1,0,0,0
unschuldig,innocent,814,0.53,1.06,4.3,1.53,2.42,1.03,5.44,1.18,4.75,1.92,2.35,1.76,333,28.07,10,3,A,0,0,0,0
wahnsinnig,insane,815,-1.03,1.49,6.55,1.05,3.8,0.83,4.38,2.19,6.45,1.24,3.67,1.65,269,35.4,10,3,A,0,0,0,0
wahnsinnig,insane,815,-1.03,1.49,6.55,1.05,3.8,0.83,4.38,2.19,6.45,1.24,3.67,1.65,1,35.4,10,3,A,0,0,0,0
Insekt,insect,816,-0.45,1.32,5.2,1.74,3,1.19,6.75,1.55,4.23,1.54,5.41,1.22,44,3.35,6,2,S,1,0,0.33,0.33
Beleidigung,insult,817,-2,0.88,6.5,1.7,3.77,0.82,5.19,1.62,6.56,1.04,2.5,1.1,280,6.46,11,4,S,0,0,0,0
Intellekt,intellect,818,1.31,1.01,4.85,1.84,2.58,0.99,6.81,0.95,5.85,1.67,2.4,1.64,48,1.14,9,3,S,0,0,0,0
Geschlechtsverkehr,intercourse,819,1.47,0.99,6.75,2.15,4.19,0.8,6.75,1.5,6.58,1.55,5.95,1.39,68,1.65,18,4,S,0,0,0,0
intim,intimate,821,1.3,0.67,6.3,2.23,3.79,0.98,6.44,1.23,5.2,1.84,3.89,1.17,46,2.17,5,2,A,0,0,0,0
Eindringling,intruder,822,-1.19,1.17,7.05,1.27,3.85,0.92,3.94,2.14,6.53,1.2,3.6,1.5,43,4.37,12,3,S,0,0,0,0
Eindringling,intruder,822,-1.19,1.17,7.05,1.27,3.85,0.92,3.94,2.14,6.53,1.2,3.6,1.5,43,4.37,12,3,S,0,0,0,0
investieren,invest,824,0.73,1.16,4.65,2.13,2.77,1.11,5.69,1.11,5.52,0.96,2.85,1.53,1523,4.8,11,4,V,1,0,0,0
Stück,item,825,0,0.37,3.85,1.42,2.31,1.05,4.94,1.25,4.6,1,3.95,1.54,136,126.5,5,2,S,2,0,20.5,22.67
Witz,joke,826,1.48,0.74,5.25,1.55,3.33,0.96,6.06,1.76,5.15,1.37,3.24,2.02,741,83.19,4,1,S,3,1,51.17,52
jovial,jolly,827,-0.06,1.12,4.3,1.59,2.81,0.94,4.94,1.07,5.64,1.22,1.75,1.12,25,0.04,6,3,A,0,0,0,0
Veröffentlichung,journal,828,0.46,0.88,5.25,1.62,2.54,1.03,4.69,0.93,5.48,1.26,3.2,1.74,896,1.38,16,5,S,0,0,0,0
Kanne,jug,829,0.6,0.6,3.55,1.85,1.68,0.95,5.94,1.32,4.28,1.65,5.32,1.59,29,1.69,5,2,S,4,3,12,26.5
Taschentuch,kerchief,830,0,0.65,3.45,1.61,1.96,0.87,5.88,1.73,3.12,1.48,6.15,1.53,53,5.2,11,3,S,1,0,1.83,1.83
Ketchup,ketchup,831,0.5,1.02,4.05,1.32,2.35,0.94,6.25,1.45,4.6,1.66,6.25,1.37,41,4.29,7,2,S,0,0,0,0
Kessel,kettle,832,0.04,0.68,4.1,1.86,3.32,0.75,5.31,2.11,6,2.05,5.85,1.23,311,3.03,6,1,S,3,1,16.5,22.5
Schlüssel,key,833,0.27,1.1,4,1.62,2.23,1.14,6.13,1.37,5.08,1.31,6.6,0.68,763,121.62,9,2,S,0,0,0,0
Tritt,kick,834,-0.9,0.57,6.2,1.54,2.84,1.26,5.19,2.08,5.38,1.58,5.76,1.23,338,45.99,5,1,S,4,0,6.17,9.33
Kinder,kids,835,1.76,1.01,5.95,1.61,2.92,1.15,6.75,1.4,4.57,1.4,6.25,0.97,47,381.35,6,2,S,3,3,19.5,23.5
Knoten,knot,836,0,0.68,3.95,1.76,2.38,1.13,5.19,1.41,5,1.65,5.7,1.49,291,8.94,6,2,S,1,1,2.17,2.17
Lamm,lamb,837,0.63,0.81,2.95,1.73,2.19,0.98,5.5,2.28,3.5,1.8,6.35,1.18,113,5.35,4,1,S,5,3,15.17,27.67
Lampe,lamp,838,0.85,0.75,3.05,1.47,2.14,1.15,5.44,1.76,3.98,1.72,5.59,1.53,187,13.9,5,2,S,1,0,4.83,4.83
Laterne,lantern,839,1.24,1.04,3.05,1.64,2.19,1.17,5.19,1.56,4.23,1.49,5.76,1.18,92,1.69,7,3,S,0,0,0,0
großzügig,lavish,840,2.19,0.83,4.15,1.9,2.42,1.06,6.44,1.5,6.29,1.36,3.29,1.31,485,12.95,9,3,A,0,0,0,0
Rasen,lawn,841,0.47,0.64,2.85,1.69,2.04,1.15,5.75,1.53,4.23,1.4,5.8,1.61,919,10,5,2,S,6,4,190.83,246.67
Prozess,lawsuit,842,-0.87,1.3,4.75,1.65,2.92,0.89,4.56,1.46,6.16,0.94,3.2,1.94,2405,25.08,7,2,S,0,0,0,0
faul,lazy,843,-1.4,1.12,3.7,1.78,2.69,1.05,4.88,1.92,3.52,2.13,3.95,1.66,161,12.68,4,1,A,5,1,376,389.83
Führer,leader,844,-1.4,1.13,6.35,1.73,3.86,0.92,5.19,1.89,6.85,1.17,5.47,1.75,1225,24.69,6,2,S,3,1,419.67,478.17
Legende,legend,845,1.07,1.39,4.2,1.85,2.62,1.13,5.38,1.71,5.7,1.44,2.7,1.89,619,19.37,7,3,S,0,0,0,0
Brief,letter,846,1.5,0.9,4.05,1.76,2.22,1,5.88,1.63,4.65,1.58,6.42,0.86,2471,60.79,5,1,S,1,0,0,0
Leuchtturm,lighthouse,847,1.48,0.92,3.7,1.42,2.48,1.05,5.5,1.31,5.45,1.13,6.5,1.19,187,2.4,10,2,S,0,0,0,0
gelenkig,limber,848,1.27,0.79,4.25,1.86,3.45,0.69,5.69,1.58,5.18,1.89,4.25,1.29,399,0.63,8,3,A,0,0,0,0
lebhaft,lively,849,1.75,1.06,6.05,1.23,3.08,1.06,6.56,1.34,5.3,1.56,3.15,1.39,135,2.87,7,2,A,0,0,0,0
Spind,locker,850,-0.08,0.64,4.05,1.5,2.52,0.77,5.13,1.59,4.5,2.12,5.45,1.47,263,3.94,5,3,S,2,0,0.33,0.33
Verlierer,loser,851,-1.57,1.22,5.53,1.81,3.35,1.23,5.75,1.66,3.21,1.81,4.1,1.34,984,15.87,9,3,S,1,1,161.5,161.5
verloren,lost,852,-1.4,1.35,5.2,1.74,3.35,1.23,4.13,1.56,5.1,1.71,2.6,1.54,6977,241.66,8,3,A,4,0,5.17,12.83
Lotterie,lottery,853,0.4,0.84,4.75,2.07,3.22,1.06,4.31,2.06,4.93,1.54,4.11,1.69,64,4.13,8,3,S,1,0,0,0
Beule,lump,854,-1.4,0.88,5.6,1.23,3.2,1.06,4.31,1.43,5.08,1.5,4.77,1.51,33,3.78,5,2,S,3,2,18.83,20.83
Maschine,machine,855,0.13,0.89,3.25,1.86,2.5,0.81,5.75,2.01,5.75,1.85,5.6,1.1,1567,48.94,8,3,S,0,0,0,0
verrückt,madman,857,-0.2,1.47,6.35,1.57,3.62,0.85,5.38,1.73,5.48,1.66,3.3,1.72,536,258.16,8,2,A,1,0,0.83,0.83
magisch,magical,858,1.2,1.03,5.5,2.09,2.79,1.32,4.63,1.74,5.28,1.97,2.78,1.3,68,3.46,7,2,A,0,0,0,0
Post,mail,859,0.63,0.96,4.75,1.71,2.47,1.07,5.5,1.1,4.76,1.09,5.8,1.12,3109,24.69,4,1,S,8,0,3.67,21
Malaria,malaria,860,-2.1,0.74,6.9,1.48,4,1.03,3.06,1.66,6.38,1.51,3.11,1.76,128,1.81,7,4,S,0,0,0,0
zerfleischen,mangle,861,-2.28,0.84,7.5,1.43,4.36,0.86,4.25,2.04,8,1.56,4.25,1.52,863,0.75,12,2,V,0,0,0,0
manisch,maniac,862,-1.4,1.06,6.1,1.97,3.62,0.98,4.44,1.47,5.92,1.53,2.65,1.76,28,0.71,7,2,A,2,2,11.83,13.83
Weise,manner,863,1.8,0.92,3.4,1.57,2.1,1.41,6.06,1.28,4.5,1.58,2.75,1.68,290,68.51,5,2,A,9,9,45.5,144.83
Konsole,mantel,864,0.06,0.85,3.7,1.89,2.55,1.1,6.31,2.03,4.72,1.21,5.58,1.64,50,1.54,7,3,S,0,0,0,0
Jauche,manure,865,-1.9,0.91,5.4,1.54,3.16,0.76,4.75,1.43,5.84,1.6,3.73,1.64,13,0.31,6,2,S,0,0,0,0
Markt,market,866,0.8,0.79,4.35,2.3,2.38,1.02,5.69,1.15,4.58,1.53,6.22,0.67,9468,17.17,5,1,S,1,0,7.5,7.5
Massaker,massacre,867,-2.8,0.42,7.75,1.59,4.61,0.7,3.31,1.86,7.85,1.12,5.67,0.71,507,5.39,8,3,S,0,0,0,0
Material,material,868,0.07,0.8,3.75,1.89,2.19,1.1,5.63,1.31,4.93,1.65,4.05,1.9,1779,19.8,8,4,S,0,0,0,0
Medizin,medicine,869,1.4,0.84,4.65,1.69,2.83,1.29,4.25,1.36,5.83,1.39,4.67,1.41,965,40.04,7,3,S,0,0,0,0
Melodie,melody,870,1.7,0.82,4.5,2.21,2.24,1.3,5.5,1.81,4.73,1.75,3.56,1.59,236,8.74,7,3,S,1,0,0,0
Erinnerungen,memories,871,1,1.21,4.45,2.09,2.81,1.06,5.5,1.82,5.8,1.95,2.95,1.88,1120,43.86,12,5,S,0,0,0,0
fröhlich,merry,872,1.6,0.91,5.26,1.94,3,1.3,6.06,1.39,6.27,2.07,4.24,1.48,382,10.55,8,2,A,0,0,0,0
unordentlich,messy,873,-1.07,0.7,5.6,1.64,2.85,1.05,5.31,1.36,4.51,1.49,4.19,1.44,11,1.89,12,4,A,0,0,0,0
Metall,metal,874,-0.05,0.89,3.85,1.81,2.65,1.23,5.81,1.03,5.33,1.79,3.73,1.86,1837,10.43,6,2,S,0,0,0,0
Methode,method,875,0.25,0.77,3.35,1.53,2.12,0.86,5.69,1.28,4.98,1.51,2.4,1.9,1087,12.05,7,3,S,0,0,0,0
Milch,milk,876,1.5,1.08,3.25,1.74,1.67,0.69,6.13,1.88,4.38,1.6,6.67,0.71,573,33.11,5,1,S,1,0,2.17,2.17
Verstand,mind,877,1.9,1.2,4.6,1.47,2.72,0.96,5.94,1.18,5.88,1.42,2.33,1.41,1419,61.34,8,1,S,1,1,94.17,94.17
Streich,mischief,878,0.1,0.99,5.2,1.7,2.94,0.94,5.13,1.33,4.6,1.5,2.9,1.92,2512,7.4,7,2,S,0,0,0,0
Elend,misery,879,-2.1,0.74,6.2,1.94,4.1,0.97,4,1.92,6.8,1.8,4,1.41,500,9.13,5,2,S,0,0,0,0
Fehler,mistake,880,-1.6,1.05,5.9,1.52,3.19,0.87,5.13,1.51,6,1.71,2.5,1.47,3852,159.42,6,2,S,3,1,126,127.5
Mobilität,mobility,881,1.53,1.19,4.8,1.58,2.69,1.01,6.38,1.75,5.5,1.54,3.4,1.85,304,0.2,9,4,S,1,0,1,1
Gussform,mold,882,0.4,0.52,3.75,1.71,2.91,0.7,5.69,1.99,5.09,1.04,5.25,1.59,112,0.08,8,2,S,0,0,0,0
temperamentvoll,moody,883,1.13,1.26,6.35,2.03,3.69,0.93,5.75,1.96,7.28,1.17,4.33,1.59,37,0.63,15,5,A,0,0,0,0
Moral,moral,884,-0.1,1.41,4.45,2.01,2.56,0.98,6,1.49,6.72,1.57,1.73,1.08,790,11.58,5,2,S,1,0,0,0
Moskito,mosquito,885,-1.4,0.84,5.4,1.98,3.44,0.78,4.69,1.96,5,1.77,5.89,1.05,9,0.16,7,3,S,0,0,0,0
trüb,muddy,887,-1.06,0.68,4.05,1.67,2.86,0.99,4.69,1.05,4,1.32,4,1.71,38,0.47,4,1,A,2,0,1.67,1.67
Muffin,muffin,888,1.1,1.08,4.05,2.01,2.35,0.75,5.94,1.99,4.33,1.64,6.43,0.75,1,4.37,6,2,S,1,1,1.5,1.5
Museum,museum,889,1.13,1.06,3.35,1.79,2.04,0.82,5.5,1.15,4.83,1.39,5.88,1.39,3030,16.77,6,3,S,0,0,0,0
Mutation,mutation,890,-1.4,0.7,6.2,1.4,3.5,0.79,3.5,1.5,6.18,1.62,4.11,1.9,72,2.52,8,4,S,1,0,0,0
mystisch,mystic,891,0.3,1.49,5.55,1.96,2.26,1.24,4.75,1.41,5.45,1.87,2.56,1.24,26,0.51,8,2,A,1,0,0,0
unbekleidet,naked,892,0.44,1.21,5.55,1.96,3.31,1.05,5.69,1.88,4.16,1.62,4.9,1.65,17,0.28,11,4,A,0,0,0,0
Name,name,893,0.59,0.82,2.9,1.45,2.21,1.13,5.13,1.18,4.75,1.48,3.81,2,2449,252.49,4,2,S,5,1,379.83,552.33
Betäubungsmittel,narcotic,894,-0.73,1.71,5.85,1.76,3.19,0.9,4.25,1.96,6.36,1.68,3.8,1.82,24,2.09,16,5,S,0,0,0,0
ekelhaft,nasty,895,-1.87,1.36,7.1,1.25,3.92,0.89,4.38,1.49,6.52,1.53,3.2,1.2,19,12.99,8,3,A,0,0,0,0
natürlich,natural,896,1.6,1.06,3.6,1.54,2,0.94,5.63,1.05,5.05,1.68,3.85,1.39,8081,0,9,3,A,0,0,0,0
Nadel,needle,897,-0.55,1.05,5.35,1.73,2.86,1.28,5.81,1.64,4.43,1.63,6.52,0.96,124,10.47,5,2,S,4,1,12.33,17.33
Vernachlässigung,neglect,898,-1.87,1.19,6.7,1.17,3.19,1.17,4.81,1.68,6.4,1.34,3.35,1.63,106,0.16,16,5,S,0,0,0,0
nervös,nervous,899,-1.4,0.99,6.55,1.15,3.73,0.96,4.5,1.67,4.38,1.84,4.05,1.53,615,62.29,6,2,A,0,0,0,0
neurotisch,neurotic,900,-1.5,0.97,6.5,1.73,3.77,0.86,5.38,1.55,5.58,1.74,2.4,1.39,13,1.18,10,3,A,1,0,0,0
Nachrichten,news,901,0.36,1.34,5.15,2.13,2.58,1.14,4.5,1.63,5.55,1.36,3.55,1.7,1629,63.51,11,3,S,0,0,0,0
sympathisch,nice,902,2.14,0.86,4.6,1.93,2.73,1.12,6.06,1.45,5.36,1.89,3.25,1.97,969,4.41,11,2,A,0,0,0,0
Brustwarze,nipple,903,0.56,1.31,6.1,1.8,3.31,1.12,5.88,1.17,5.35,1.7,6.7,0.73,2,0.94,10,3,S,0,0,0,0
laut,noisy,904,-0.27,1.56,5.65,1.81,4.27,0.65,5.38,1.81,6.55,0.93,3.45,1.73,3745,84.65,4,1,S,5,0,78.67,169.5
Blödsinn,nonsense,905,-0.27,1.05,5.55,1.64,3.31,0.93,5.69,1.32,5.5,1.66,2.63,1.53,121,33.66,8,2,S,0,0,0,0
Strick,noose,906,-0.93,1.27,5.15,2.41,3.23,1.07,5.75,1.59,6.73,0.9,5.85,1.4,362,2.87,6,1,S,1,1,12.67,12.67
ernähren,nourish,907,0.87,0.64,3.9,1.48,2.31,0.93,6.19,1.5,5.24,0.83,3.3,1.69,183,8.39,8,3,V,1,0,0.67,0.67
Belästigung,nuisance,908,-2.07,1.1,7.25,0.91,4.04,0.72,5,1.92,6.56,1,3.55,1.67,124,4.88,11,4,S,0,0,0,0
Nonne,nun,909,-0.45,1.05,3.25,1.94,2.28,0.89,5,1.6,4.48,1.71,6,1.23,68,6.14,5,2,S,4,2,90.33,166.17
Kinderkrippe,nursery,910,0.81,1.11,3.8,2.33,2.5,1.1,5.69,1.84,4.75,1.85,4.9,1.52,14,0.12,12,4,S,0,0,0,0
Fettleibigkeit,obesity,911,-1.93,1.16,6.2,1.47,3.04,1,4.94,1.83,6.64,1.38,5.55,1.19,39,0.2,14,4,S,0,0,0,0
gehorchen,obey,912,-0.94,1,5.63,1.95,2.65,1.09,4.38,2.15,4.88,1.82,3.62,1.5,59,9.49,9,3,V,1,0,0.17,0.17
widerlich,obnoxious,913,-2.14,0.66,6.85,1.98,3.71,0.77,4.25,1.55,6.24,1.27,3.38,1.24,39,12.32,9,3,A,0,0,0,0
obszön,obscene,914,-0.75,1.06,6.45,1.67,3.88,0.59,5.06,1.36,5.9,1.5,2.75,1.77,42,1.46,6,2,A,0,0,0,0
Besessenheit,obsession,915,-1.64,1.39,7.85,1.09,3.92,0.8,4.56,1.87,7,1.52,2.65,1.27,55,5.35,12,4,S,0,0,0,0
komisch,odd,916,0.7,1.57,5.6,1.05,2.58,1.3,6,1.45,4.6,1.38,3.89,1.36,402,101.78,7,2,A,1,0,0.83,0.83
beleidigen,offend,917,-1.93,1.14,6.7,1.26,3.62,0.98,4.94,1.8,4.3,2.25,3.62,1.56,44,9.17,10,4,V,1,0,0,0
Optimismus,optimism,918,2.27,0.96,5.05,1.68,2.69,1.26,6.5,1.9,6.1,1.84,2.9,1.94,893,1.3,10,4,S,0,0,0,0
Möglichkeit,option,919,0.8,0.77,4.3,1.59,2.42,1.06,6.25,1.27,5.35,1.37,2.15,1.23,4859,65.28,11,3,S,0,0,0,0
Orgasmus,orgasm,920,2.33,1.11,7.2,1.74,4.15,1.05,6.13,2.35,7.35,1.19,4.4,2.35,64,4.61,8,3,S,0,0,0,0
Gräueltat,outrage,921,-2.07,0.7,7.5,0.95,4.38,0.64,3.13,1.72,6.9,1.68,2.95,1.47,6,0.51,9,3,S,0,0,0,0
außerordentlich,outstanding,922,1.13,0.81,6.2,1.11,3,1.06,5.63,1.22,6.2,1.19,1.95,1.19,554,4.61,15,5,A,0,0,0,0
bewölkt,overcast,923,-0.33,0.9,3.85,1.46,2.27,0.72,4.38,1.43,4.2,1.41,5.6,1.19,166,1.57,7,2,A,0,0,0,0
Anstrich,paint,924,0.31,0.79,3.8,1.61,2,1.06,5.31,1.54,4.3,1.4,5.05,1.64,110,0.55,8,2,S,1,1,2.67,2.67
Pamphlet,pamphlet,925,-0.28,0.98,4.65,1.57,3.4,0.87,5.13,1.57,5.4,2.12,3.2,1.99,472,0.28,8,3,S,0,0,0,0
Lähmung,paralysis,926,-1.73,1.33,5.7,2.15,3.08,1.32,3.88,2.24,5.73,2.03,4.6,1.19,114,1.54,7,2,S,1,0,1.83,1.83
Teil,part,927,0.38,0.85,3.65,1.84,1.89,0.83,5,1.23,4.43,1.45,3.58,1.96,13157,194.89,4,1,S,8,1,775.67,815.5
Durchgang,passage,928,0.29,0.69,4.25,1.77,2,0.94,5.31,1.32,4.68,1.35,4.4,2.04,596,2.44,9,2,S,0,0,0,0
geduldig,patient,929,1.13,0.74,3.1,0.91,1.62,0.7,6.5,1.14,6.1,1.56,3.05,1.16,248,5.75,8,3,A,0,0,0,0
Patriot,patriot,930,-0.57,1.65,5.65,1.66,2.96,1.08,5.19,1.05,5.79,1.59,4.33,1.74,86,2.01,7,3,S,0,0,0,0
Bußgeld,penalty,931,-1.71,0.79,6.75,1.55,3.87,0.73,3.75,1.34,6.16,1.34,3.95,1.88,270,0.55,7,2,S,0,0,0,0
Penis,penis,932,0.33,1.5,6.6,2.09,3.69,0.88,5.88,1.88,6.73,1.32,6.55,1.19,69,17.21,5,2,S,0,0,0,0
Dachwohnung,penthouse,933,1.27,1.56,3.8,1.44,2.64,1.03,5.13,1.73,5.18,1.54,5.85,0.99,97,0.08,11,3,S,0,0,0,0
Parfüm,perfume,934,1.77,1.27,4.55,2.01,3,1.31,6.38,1.71,4.43,1.57,4.41,2.06,69,5.59,6,2,S,1,0,1.17,1.17
Haustier,pet,935,1.2,0.92,4.05,1.88,2.22,0.88,6.56,1.45,3.83,1.57,5.48,1.36,51,4.02,8,2,S,0,0,0,0
Phase,phase,936,0,0.73,4.25,1.33,2.44,0.78,4.69,1.25,4.65,1.46,1.77,0.92,1633,14.53,5,2,S,0,0,0,0
Schwein,pig,937,0.59,1.44,4.9,1.83,2.77,1.27,5.5,1.5,5.18,1.57,5.95,1.33,247,62.09,7,1,S,4,1,78.5,95.33
Kniff,pinch,938,0.43,0.76,4.95,1.36,2.62,0.8,5.06,1.29,4.88,1.33,3.35,1.9,17,0.35,5,1,S,1,0,0,0
Pistole,pistol,939,-1.5,1.18,6.7,1.75,3.94,0.87,4.56,2.11,6.4,1.6,6.22,1.09,498,39.17,7,3,S,0,0,0,0
Mitleid,pity,940,0,1.63,5.65,1.53,3,0.61,5.06,1.68,5.3,1.71,3.33,1.87,392,23.47,7,2,S,0,0,0,0
flach,plain,941,-0.2,0.56,3.35,1.6,2.15,0.92,4.81,0.64,3.98,1.53,3.8,1.4,269,7.4,5,1,A,1,0,6.33,6.33
Poster,poster,942,0.25,0.45,3.55,1.5,2.08,0.89,6.38,1.83,4.1,1.45,5.45,1.39,128,5.08,6,2,S,1,1,25.67,25.67
Druck,pressure,944,-1.59,1.05,6.15,1.42,3.61,1.09,4.38,1.9,5.95,1.18,3.54,1.81,6485,41.77,5,1,S,2,0,7.83,7.83
Prestige,prestige,945,0.29,1.07,5.85,1.23,2.88,1.07,5.56,1.24,6.03,1.23,2.45,1.9,166,0.98,8,3,S,0,0,0,0
Stich,prick,946,-0.9,0.57,5.8,1.88,3.62,0.59,5.06,1.22,5.24,1.71,5,1.73,861,28.54,5,1,S,0,0,0,0
Fortschritt,progress,947,1.29,1.44,5.45,2.01,3.04,1.08,6,1.57,5.93,1.51,3.2,1.79,865,6.58,11,2,S,0,0,0,0
ätzend,pungent,948,-1.6,1.06,7,1.08,3.73,0.96,4.19,1.32,6.08,1.68,3.48,1.44,18,6.42,6,2,A,0,0,0,0
Python,python,949,-0.8,1.29,5.95,1.85,3.84,0.99,4.44,1.94,6.8,1.87,6.35,1.46,13,0.91,6,2,S,0,0,0,0
Qualität,quality,950,1.65,1.04,3.95,1.7,2.28,1.02,5.94,1.15,5.65,1.59,2.42,1.5,2967,11.89,8,3,S,0,0,0,0
Liter,quart,951,0.5,0.89,4.15,1.46,1.89,0.83,5.31,1.05,4.73,1.1,3.73,1.64,1975,7.91,5,2,S,1,0,0,0
Königin,queen,952,0.8,1.15,4.45,2.04,2.65,1.13,4.69,2.06,6.74,1.6,6.14,1.11,866,35.4,7,3,S,0,0,0,0
schnell,quick,953,0.94,0.97,6.85,1.31,3.15,1.08,6.31,1.52,5.4,1.71,3.8,1.4,9868,453.48,7,1,A,0,0,0,0
schnell,quick,953,0.94,0.97,6.85,1.31,3.15,1.08,6.31,1.52,5.4,1.71,3.8,1.4,9868,453.48,7,1,A,0,0,0,0
strahlend,radiant,954,1.48,0.87,6,2.15,2.52,1.03,6.13,1.32,5.9,1.63,4.76,1.64,192,1.93,9,2,A,0,0,0,0
Heizkörper,radiator,955,0.53,0.99,3.45,1.43,2.08,1.13,5.5,1.61,4.88,1.76,6.2,1.01,40,0.2,10,3,S,0,0,0,0
ranzig,rancid,956,-1.53,1.41,5.65,1.31,3.38,1.06,4.69,1.22,5.28,1.34,3.5,1.5,11,0.28,6,2,A,0,0,0,0
Rasierapparat,razor,957,0,0.52,4.35,1.46,2.42,1.17,6.44,1.81,4.76,1.54,6.45,1.23,11,0.47,13,5,S,0,0,0,0
Reptil,reptile,958,-0.53,0.92,5.3,2.08,2.77,1.07,4.5,1.43,5.38,1.76,5.5,1.7,19,0.63,6,2,S,0,0,0,0
beleidigt,resent,959,-1.65,0.98,5.9,1.55,3.4,0.69,5.19,1.53,6,2.05,3.43,1.57,157,15.83,9,3,A,0,0,0,0
Restaurant,restaurant,960,1.25,1,4.3,1.66,2.16,0.88,5.69,1.43,4.6,1.3,6.04,1.17,1165,42.88,10,3,S,0,0,0,0
Sitzung,reunion,961,-0.38,1.02,3.5,1.85,2.11,0.9,5.44,1,4.76,1.64,4.23,1.73,2896,12.13,7,2,S,2,0,14.5,14.67
Revolver,revolver,962,-2.14,1.04,6.75,1.59,4.14,1.04,3.94,2.38,6.35,1.53,5.59,1.3,133,8.03,8,3,S,0,0,0,0
starr,rigid,963,-0.7,0.48,4.26,1.28,2.32,1.29,4.69,1.15,5.58,1.47,3.22,1.86,144,0,5,1,A,2,2,480.5,531.33
Räuber,robber,964,-1.53,1.13,6,1.81,3.96,0.6,3.44,1.18,6.95,1.73,5.29,1.59,470,10.28,6,2,S,1,0,0,0
Fels,rock,965,0.33,0.72,3.15,1.66,1.96,0.87,5.19,1.84,5.78,1.9,6.2,1.01,169,5.39,4,1,S,2,1,99.67,105.33
rau,rough,966,-0.4,0.99,5.15,1.31,3.08,0.8,4.75,1.14,5.43,1.38,4.05,1.76,43,2.68,3,1,A,10,9,129.17,401.5
sicher,safe,967,1.67,1.29,3.3,1.78,1.92,0.74,6.5,1.4,5.7,1.6,2.65,1.18,8713,868.62,6,2,A,2,0,1.83,2.17
Heiliger,saint,968,0.97,1.21,4.4,1.96,1.95,1.11,4.63,1.45,5.31,2.05,4.38,1.86,99,16.02,8,3,S,0,0,0,0
speichern,save,969,0.84,0.8,3.6,1.47,2.24,0.66,6,1.23,5.2,0.92,2.55,1.61,1774,2.48,9,2,V,1,0,0.17,0.17
abkochen,scalding,970,-0.2,0.56,3.9,2.13,2.73,1.31,5.75,1.7,4.76,1.3,3.55,1.64,5,0.12,8,3,V,1,0,0,0
