Word,Valence_N,Valence_M,Valence_SD,Arousal_N,Arousal_M,Arousal_SD,Concreteness_N,Concreteness_M,Concreteness_SD,Length,Cluster,,,,,,
Ader,26,5.46,2.16,21,4.05,2.91,28,8.25,2.12,4,3,,,,,,
Adler,24,6.50,2.92,28,4.96,2.63,27,8.81,2.83,5,3,,,,,,
Adresse,27,5.70,1.66,35,1.11,1.62,24,6.92,3.59,7,3,,,,,,
Affäre,21,4.05,2.20,20,8.35,1.76,26,5.85,2.75,6,2,,,,,,
Affe,25,6.56,1.98,36,2.69,2.25,32,9.13,1.45,4,3,,,,,,
Agent,29,5.31,1.91,21,4.19,2.73,20,7.10,1.83,5,3,,,,,,
Aggression,38,1.89,2.08,25,7.24,2.67,20,5.25,3.23,10,2,,,,,,
Ähnlichkeit,21,5.48,1.47,31,2.68,2.44,30,5.13,2.86,11,1,,,,,,
Ahnung,33,5.58,1.98,24,4.96,2.94,15,4.47,2.50,6,4,,,,,,
Akt,26,5.73,2.16,37,6.11,2.71,16,6.75,2.14,3,4,,,,,,
Akteur,19,5.26,1.82,27,3.52,2.59,21,6.14,2.08,6,1,,,,,,
Aktie,30,3.77,2.25,20,3.50,2.89,24,5.58,3.69,5,1,,,,,,
Aktion,22,6.77,1.27,22,5.77,3.07,20,4.70,2.96,6,4,,,,,,
Aktionär,12,4.75,2.01,35,2.80,2.72,15,6.33,2.47,8,1,,,,,,
Aktivität,24,7.42,1.95,24,5.25,2.57,21,4.95,2.56,9,4,,,,,,
Akustik,34,6.74,1.54,24,4.17,2.99,27,5.00,2.86,7,4,,,,,,
Akzent,26,5.15,1.78,23,2.96,2.34,18,5.28,3.34,6,1,,,,,,
Alarm,18,4.39,1.75,25,6.76,3.35,23,6.65,2.81,5,2,,,,,,
Album,23,6.57,2.13,21,2.76,2.57,14,8.07,2.53,5,3,,,,,,
Alge,24,4.46,2.17,29,1.66,1.84,22,8.73,1.93,4,3,,,,,,
Alkohol,32,4.44,2.30,36,4.97,2.55,22,7.23,2.96,7,2,,,,,,
Allee,25,7.52,1.83,17,2.53,1.87,18,8.78,2.24,5,3,,,,,,
Allianz,22,5.86,1.32,24,1.79,1.89,22,4.73,2.71,7,1,,,,,,
Alm,21,6.14,1.82,29,2.62,2.98,26,8.46,2.27,3,3,,,,,,
Alptraum,28,2.46,2.73,17,6.94,2.99,16,6.75,2.54,8,2,,,,,,
Altar,23,5.57,2.09,27,3.59,2.06,18,8.22,2.88,5,3,,,,,,
Alternative,21,6.62,1.24,22,3.82,3.03,25,3.84,3.54,11,1,,,,,,
Amateur,26,3.96,1.97,31,3.48,2.45,26,6.12,2.67,7,1,,,,,,
Ampel,25,4.48,2.08,22,2.91,2.79,20,8.70,2.83,5,3,,,,,,
Amt,26,2.96,1.61,15,2.60,2.87,22,6.64,2.54,3,1,,,,,,
Anbau,28,5.93,1.39,24,1.88,2.11,28,5.64,2.79,5,1,,,,,,
Anblick,24,6.42,1.77,24,4.92,3.26,26,5.27,2.72,7,4,,,,,,
Änderung,26,5.23,1.80,29,4.28,2.80,18,4.72,3.10,8,1,,,,,,
Andeutung,28,4.61,1.85,23,4.48,2.52,25,4.12,3.03,9,1,,,,,,
Anekdote,24,6.75,1.80,15,3.47,1.46,13,3.92,3.01,8,1,,,,,,
Anerkennung,25,8.32,2.59,23,5.65,2.25,24,5.58,2.72,11,4,,,,,,
Anfang,21,6.43,2.04,26,4.88,3.12,21,5.43,2.86,6,4,,,,,,
Anforderung,23,5.00,1.91,21,5.29,2.35,19,4.11,2.71,11,1,,,,,,
Anfrage,30,5.00,1.91,26,3.46,2.69,19,6.32,3.15,7,1,,,,,,
Anführer,24,4.33,2.14,30,5.80,2.63,15,7.33,2.61,8,2,,,,,,
Angebot,26,6.27,2.15,23,4.57,2.73,18,4.22,2.29,7,4,,,,,,
Angel,31,5.52,1.52,24,1.58,1.86,18,9.39,0.98,5,3,,,,,,
Angelegenheit,24,4.79,1.56,30,2.37,2.11,32,3.53,2.34,13,1,,,,,,
Angriff,27,1.96,2.05,19,8.37,1.89,18,6.50,1.92,7,2,,,,,,
Angst,26,2.81,2.51,19,7.89,2.16,29,6.21,2.83,5,2,,,,,,
Anhang,26,5.27,2.27,21,1.90,2.05,17,4.94,3.07,6,1,,,,,,
Anhänger,22,4.23,1.48,20,2.75,3.14,13,6.38,2.06,8,1,,,,,,
Anker,23,6.22,1.35,18,2.33,2.54,23,8.87,1.87,5,3,,,,,,
Ankündigung,20,4.75,1.80,31,5.29,3.07,19,5.21,2.74,11,2,,,,,,
Anlage,12,4.92,1.68,28,1.39,2.22,16,5.75,2.67,6,1,,,,,,
Anlass,31,6.00,1.86,22,2.95,2.79,23,3.61,3.12,6,1,,,,,,
Anordnung,24,3.88,1.80,26,2.88,3.12,22,5.55,2.52,9,1,,,,,,
Anpassung,29,4.10,2.32,25,3.32,2.75,19,3.63,3.11,9,1,,,,,,
Anregung,21,6.24,2.86,32,4.63,2.60,20,4.45,2.70,8,4,,,,,,
Anruf,26,5.65,2.38,32,5.09,2.70,29,6.34,3.30,5,4,,,,,,
Ansatz,27,5.15,1.51,21,1.76,2.61,24,3.21,3.11,6,1,,,,,,
Anschaffung,23,6.04,2.57,22,3.00,2.43,34,4.68,2.76,11,1,,,,,,
Anschein,17,4.82,1.01,25,2.64,2.08,16,4.00,3.01,8,1,,,,,,
Anschluss,23,5.78,1.70,26,3.04,2.29,10,5.50,3.92,9,1,,,,,,
Anschuldigung,21,1.71,1.98,16,6.75,2.59,21,5.76,2.70,13,2,,,,,,
Ansicht,23,5.09,1.62,31,4.03,2.85,14,4.21,2.46,7,1,,,,,,
Anspruch,27,5.74,2.16,27,4.37,2.56,23,4.26,3.12,8,1,,,,,,
Anstalt,31,3.52,2.85,22,6.18,2.86,23,5.00,2.89,7,2,,,,,,
Anstand,21,7.10,2.14,21,4.10,2.91,15,3.47,2.61,7,4,,,,,,
Anstrengung,18,4.28,1.78,22,6.73,2.07,15,5.27,1.94,11,2,,,,,,
Anteil,31,5.77,1.80,24,3.33,2.44,24,4.21,2.67,6,1,,,,,,
Antlitz,18,5.56,2.33,21,3.57,2.58,19,6.16,3.24,7,1,,,,,,
Antrag,18,4.44,2.77,26,5.46,3.09,30,6.17,2.57,6,2,,,,,,
Antwort,23,6.57,1.95,31,2.55,2.42,27,5.96,3.38,7,1,,,,,,
Anweisung,17,4.35,2.00,17,4.29,2.76,20,4.95,3.44,9,1,,,,,,
Anwendung,21,5.48,1.86,31,1.97,1.52,14,4.36,2.84,9,1,,,,,,
Anzeige,16,4.38,2.87,16,4.31,2.57,21,6.81,2.91,7,2,,,,,,
Anzug,28,5.39,1.40,34,2.32,2.46,17,9.29,1.72,5,3,,,,,,
Apfel,30,7.03,1.96,36,3.03,2.87,16,9.69,0.79,5,3,,,,,,
Apfelsine,31,6.52,2.66,29,2.24,2.64,22,9.77,0.53,9,3,,,,,,
Apotheke,23,5.22,1.65,26,2.88,2.30,19,9.16,1.46,8,3,,,,,,
Apparat,28,5.18,1.70,22,2.50,2.28,21,6.00,3.10,7,1,,,,,,
Appell,29,3.79,2.29,25,5.40,2.72,22,3.64,3.08,6,2,,,,,,
Applaus,28,6.82,2.65,21,5.76,2.84,25,7.96,2.26,7,4,,,,,,
Arbeit,26,5.35,2.24,36,4.75,2.87,16,6.31,2.44,6,4,,,,,,
Arbeiter,27,4.48,2.17,26,2.62,2.26,29,7.03,2.92,8,3,,,,,,
Arbeitgeber,25,5.24,2.03,29,4.52,3.26,21,5.71,2.88,11,1,,,,,,
Arbeitsamt,19,2.21,2.25,28,4.04,3.34,21,8.76,2.26,10,2,,,,,,
Arbeitskraft,24,4.88,1.96,18,4.00,2.95,25,5.84,2.73,12,1,,,,,,
Arbeitslosigkeit,23,2.22,2.70,25,5.48,3.47,24,6.29,3.29,16,2,,,,,,
Arbeitsplatz,24,5.54,2.28,19,4.47,2.89,16,6.81,2.14,12,4,,,,,,
Arbeitsteilung,31,6.23,1.63,33,3.55,2.95,19,4.37,2.89,14,1,,,,,,
Arbeitszeit,33,4.61,1.89,22,3.50,2.48,28,5.50,3.20,11,1,,,,,,
Architektur,26,7.04,2.34,21,3.24,1.81,33,6.79,2.37,11,3,,,,,,
Archiv,34,5.03,1.87,28,1.86,2.97,24,7.63,3.05,6,3,,,,,,
Arena,19,5.74,2.47,31,3.77,2.92,26,7.77,1.99,5,3,,,,,,
Ärger,31,2.26,2.11,21,6.90,2.55,25,6.16,3.21,5,2,,,,,,
Argument,29,5.76,2.03,25,3.64,2.51,13,3.46,2.33,8,1,,,,,,
Arm,27,6.44,1.93,24,2.25,2.71,26,9.04,2.58,3,3,,,,,,
Armband,30,6.90,2.38,24,1.42,1.86,23,8.70,2.40,7,3,,,,,,
Armee,27,3.56,3.04,18,5.17,3.17,29,7.79,2.55,5,2,,,,,,
Armut,27,2.00,2.17,20,6.60,2.35,25,5.92,3.15,5,2,,,,,,
Arrest,32,1.44,0.98,18,6.06,3.15,23,6.22,2.86,6,2,,,,,,
Arsch,32,3.50,2.42,22,6.59,2.56,23,7.52,2.64,5,2,,,,,,
Artikel,19,4.79,2.02,13,1.54,2.37,11,5.55,2.38,7,1,,,,,,
Artist,21,7.14,1.74,22,4.32,3.00,19,8.00,2.47,6,4,,,,,,
Arzneimittel,15,6.33,2.50,21,4.62,2.58,30,7.90,2.19,12,4,,,,,,
Arzt,23,5.04,1.58,22,5.50,2.37,17,9.00,1.84,4,3,,,,,,
Assistent,24,5.92,1.79,22,2.27,2.19,20,7.05,3.07,9,3,,,,,,
Assistenz,20,5.15,1.14,22,2.18,2.36,26,5.27,2.78,9,1,,,,,,
Ast,25,5.96,1.95,22,1.14,1.67,26,8.42,3.06,3,3,,,,,,
Astronaut,27,5.81,1.64,25,3.32,2.53,21,9.67,1.11,9,3,,,,,,
Asyl,32,3.94,2.17,23,5.83,2.90,19,5.32,2.83,4,2,,,,,,
Atlantik,21,6.57,2.42,26,5.15,3.15,25,8.40,1.96,8,4,,,,,,
Atmosphäre,23,6.91,2.07,28,4.68,2.58,20,5.40,2.76,10,4,,,,,,
Atmung,29,7.21,1.68,24,4.00,2.83,30,7.07,2.74,6,4,,,,,,
Atom,26,5.35,2.67,27,5.11,3.43,18,7.28,3.34,4,4,,,,,,
Attraktion,20,6.60,1.64,22,6.77,2.45,23,5.13,2.69,10,4,,,,,,
Aufbewahrung,29,5.66,1.95,29,2.00,2.35,25,5.68,2.63,12,1,,,,,,
Aufbruch,20,6.20,2.35,30,6.20,2.95,29,3.76,2.69,8,4,,,,,,
Aufenthalt,30,6.07,1.68,23,3.91,2.94,25,4.76,3.39,10,1,,,,,,
Auferstehung,33,6.18,3.00,29,4.14,3.13,20,4.95,3.14,12,1,,,,,,
Auffassung,32,6.19,1.45,19,3.16,3.02,21,4.38,3.22,10,1,,,,,,
Aufführung,19,6.26,1.97,31,4.26,2.83,18,5.89,2.37,10,4,,,,,,
Aufgabe,16,5.19,2.66,27,4.52,2.82,18,5.11,3.05,7,1,,,,,,
Aufhebung,23,4.87,1.87,20,3.35,2.43,21,3.57,2.77,9,1,,,,,,
Aufklärung,24,6.13,2.47,24,5.38,2.16,18,4.44,3.26,10,4,,,,,,
Auflage,20,3.70,1.89,23,2.00,2.43,17,4.24,2.54,7,1,,,,,,
Auflösung,22,3.68,2.57,29,3.79,2.80,14,4.43,3.37,9,1,,,,,,
Aufmachung,19,5.21,1.72,23,3.35,2.31,18,4.33,3.43,10,1,,,,,,
Aufmerksamkeit,27,7.67,1.80,39,4.26,2.67,28,5.93,2.80,14,4,,,,,,
Aufnahme,25,5.60,1.83,27,2.67,2.35,20,4.65,2.52,8,1,,,,,,
Aufopferung,21,4.71,2.55,18,6.39,2.25,25,4.44,3.25,11,2,,,,,,
Aufprall,25,1.64,1.96,36,6.69,2.19,17,7.88,2.29,8,2,,,,,,
Aufruf,26,4.85,1.99,21,4.86,2.43,25,5.44,2.95,6,1,,,,,,
Aufsatz,29,4.66,1.65,24,3.17,2.78,18,7.83,1.82,7,3,,,,,,
Aufschrift,27,5.48,1.19,32,2.00,2.03,19,6.79,3.26,10,3,,,,,,
Aufstand,32,4.75,2.40,32,6.84,2.94,18,5.61,2.57,8,2,,,,,,
Aufstellung,27,5.00,1.54,23,2.57,2.56,29,4.97,3.13,11,1,,,,,,
Aufstieg,27,7.48,1.70,23,5.96,2.53,28,5.25,2.93,8,4,,,,,,
Auftakt,23,5.52,2.11,19,4.58,2.85,23,5.13,3.03,7,1,,,,,,
Aufteilung,22,5.55,2.24,21,2.57,2.23,17,4.35,3.00,10,1,,,,,,
Auftrag,34,5.50,1.97,15,3.47,1.88,29,5.66,2.73,7,1,,,,,,
Aufwand,20,3.85,2.01,16,4.69,2.57,19,3.84,2.36,7,1,,,,,,
Aufzählung,29,4.79,1.54,28,1.79,1.99,20,3.70,2.70,10,1,,,,,,
Aufzeichnung,26,5.31,1.41,29,3.03,2.18,15,5.00,2.33,12,1,,,,,,
Auge,36,6.53,1.96,27,4.19,2.42,24,9.79,0.59,4,3,,,,,,
Augenblick,25,6.76,2.13,19,5.11,3.03,23,5.39,3.00,10,4,,,,,,
Auktion,17,5.53,1.23,24,5.21,2.48,13,7.31,2.75,7,4,,,,,,
Ausbeutung,17,1.53,1.77,27,7.22,2.47,20,4.50,2.98,10,2,,,,,,
Ausbildung,32,6.56,2.26,22,3.55,2.63,21,5.67,3.04,10,4,,,,,,
Ausbruch,22,4.05,2.42,23,6.30,3.08,13,6.62,2.33,8,2,,,,,,
Ausdruck,22,6.00,2.62,19,2.53,2.87,23,4.22,2.91,8,1,,,,,,
Auseinandersetzung,22,3.50,2.58,23,6.96,2.46,30,6.47,2.45,18,2,,,,,,
Ausfall,23,3.00,2.00,24,3.38,2.87,21,4.48,3.17,7,1,,,,,,
Ausflug,27,8.37,1.74,28,4.54,2.33,21,7.38,2.29,7,4,,,,,,
Ausgabe,29,4.55,2.03,27,2.19,2.15,19,4.63,2.67,7,1,,,,,,
Ausgang,22,5.27,2.41,21,2.81,2.46,16,7.94,2.32,7,3,,,,,,
Ausgangspunkt,33,5.45,2.02,24,1.63,1.93,21,4.67,3.09,13,1,,,,,,
Auskunft,24,5.92,1.84,20,2.25,1.55,17,4.06,2.70,8,1,,,,,,
Ausland,26,6.69,1.67,33,5.21,2.92,22,6.59,2.99,7,4,,,,,,
Auslegung,24,3.96,2.37,22,2.27,2.41,27,2.78,2.86,9,1,,,,,,
Ausnahme,28,5.29,1.84,27,4.15,3.01,24,3.71,3.42,8,1,,,,,,
Ausrottung,40,1.73,2.68,31,6.13,3.70,22,5.91,2.89,10,2,,,,,,
Ausschau,22,5.68,1.13,19,2.37,2.69,26,4.35,3.22,8,1,,,,,,
Ausschluss,35,3.00,2.17,29,5.17,3.07,13,3.31,3.04,10,2,,,,,,
Außenseiter,29,2.76,2.54,37,5.08,3.04,24,6.21,2.77,11,2,,,,,,
Aussicht,34,6.71,2.37,19,4.11,2.87,18,6.72,3.21,8,4,,,,,,
Ausstattung,33,5.94,1.52,22,2.09,2.51,20,5.40,2.64,11,1,,,,,,
Ausstellung,14,5.71,1.94,31,2.81,2.20,22,7.41,2.42,11,3,,,,,,
Austausch,26,6.54,1.86,24,3.00,2.70,28,4.61,2.87,9,1,,,,,,
Ausübung,18,6.22,2.05,30,1.97,2.25,30,3.90,2.45,8,1,,,,,,
Auswahl,29,5.79,2.18,25,3.04,2.70,27,3.33,2.69,7,1,,,,,,
Ausweis,20,4.20,1.54,28,2.75,2.65,20,8.55,1.70,7,3,,,,,,
Auswertung,26,5.31,1.85,25,3.20,2.78,21,4.48,3.44,10,1,,,,,,
Auszeichnung,32,7.78,2.12,21,5.86,2.78,18,6.61,2.33,12,4,,,,,,
Auszug,22,5.55,2.54,26,3.54,2.89,15,3.93,3.24,6,1,,,,,,
Auto,22,5.68,2.19,23,3.65,2.50,22,9.00,2.31,4,3,,,,,,
Autobahn,24,5.33,2.71,26,4.73,2.88,18,9.11,1.32,8,3,,,,,,
Automat,18,5.00,3.07,30,1.63,2.09,20,7.75,2.55,7,3,,,,,,
Autonomie,25,6.16,2.36,26,4.38,3.19,13,5.31,2.78,9,4,,,,,,
Autor,26,6.88,1.80,12,3.00,2.76,14,7.00,3.23,5,3,,,,,,
Autorin,21,7.29,1.90,24,4.29,2.85,20,7.00,3.24,7,4,,,,,,
Axt,33,2.85,1.72,37,5.30,2.93,22,9.23,1.88,3,2,,,,,,
Baby,22,7.77,2.54,28,6.32,3.12,36,8.75,2.01,4,4,,,,,,
Bach,27,7.22,1.99,17,3.18,3.38,14,8.86,2.66,4,3,,,,,,
Bäcker,20,7.40,1.54,20,1.25,1.71,25,8.84,2.15,6,3,,,,,,
Bad,25,6.96,1.97,23,3.57,3.41,10,8.50,3.06,3,3,,,,,,
Bagger,26,4.92,1.20,29,2.28,2.89,24,9.21,1.69,6,3,,,,,,
Bahn,18,4.50,2.04,24,2.83,2.63,19,7.53,3.13,4,3,,,,,,
Bahnhof,27,4.48,1.89,24,3.96,2.71,16,8.63,1.86,7,3,,,,,,
Bahnsteig,32,4.50,1.80,29,2.55,2.11,30,9.10,2.06,9,3,,,,,,
Balance,32,7.56,1.74,34,2.76,1.89,27,5.78,2.94,7,4,,,,,,
Balkon,17,7.47,1.46,22,3.18,3.03,23,9.91,0.29,6,3,,,,,,
Ball,24,6.63,1.95,23,3.57,2.59,16,9.00,2.48,4,3,,,,,,
Band,23,5.57,1.75,22,1.77,2.41,17,8.00,2.32,4,3,,,,,,
Bank,28,5.50,1.91,25,3.68,2.29,8,9.50,0.93,4,3,,,,,,
Bar,30,6.73,1.98,24,4.33,2.32,24,8.67,1.46,3,3,,,,,,
Bär,24,6.33,2.41,26,5.00,2.67,27,8.59,2.66,3,4,,,,,,
Bargeld,21,6.33,3.20,23,4.96,2.58,22,8.77,2.54,7,3,,,,,,
Barmherzigkeit,29,7.10,1.93,25,5.16,3.06,20,4.30,3.15,14,4,,,,,,
Bart,31,4.97,2.61,16,2.38,1.78,24,8.38,2.63,4,3,,,,,,
Basis,23,6.09,2.27,24,3.17,2.91,27,4.96,3.30,5,1,,,,,,
Bass,26,6.15,1.91,31,4.13,3.11,11,6.73,3.23,4,4,,,,,,
Bau,18,5.00,1.50,25,1.84,2.37,15,6.80,2.60,3,3,,,,,,
Bauch,28,5.71,1.88,27,4.26,3.27,15,9.40,1.06,5,3,,,,,,
Bauer,20,5.35,2.21,28,1.64,1.99,27,9.30,0.99,5,3,,,,,,
Bauernhof,24,8.04,1.57,19,2.47,2.34,22,9.36,1.00,9,3,,,,,,
Baum,24,7.71,2.20,23,1.65,2.17,14,8.79,2.99,4,3,,,,,,
Bauwerk,27,5.67,2.13,22,2.27,2.75,20,7.05,2.61,7,3,,,,,,
Beachtung,23,6.61,2.37,25,4.72,2.34,20,5.35,3.18,9,4,,,,,,
Bearbeitung,27,5.48,1.53,21,3.00,2.83,27,5.07,3.21,11,1,,,,,,
Becher,19,5.63,1.50,27,1.11,2.22,19,8.32,2.96,6,3,,,,,,
Becken,12,6.25,1.54,20,1.50,2.26,15,7.53,2.00,6,3,,,,,,
Bedarf,25,4.52,1.78,27,2.81,2.73,23,3.35,3.35,6,1,,,,,,
Bedenklichkeit,22,4.00,1.63,25,4.72,2.78,14,2.50,1.79,14,1,,,,,,
Bedeutung,21,6.00,1.97,26,3.73,2.22,16,3.13,2.87,9,1,,,,,,
Bedingung,30,4.07,1.55,26,4.23,2.93,25,4.36,3.11,9,1,,,,,,
Bedrohung,20,2.55,2.95,25,7.28,2.49,28,4.68,2.67,9,2,,,,,,
Bedürfnis,30,5.97,1.77,34,5.18,2.47,28,5.39,3.12,9,4,,,,,,
Beeinflussung,25,3.20,1.89,16,4.88,2.70,21,5.48,3.25,13,2,,,,,,
Beeinträchtigung,18,3.22,2.29,25,3.92,2.27,32,3.81,2.90,16,1,,,,,,
Befehl,33,2.67,1.67,31,6.48,2.91,20,4.30,2.43,6,2,,,,,,
Befragung,26,4.19,1.55,24,3.96,2.39,27,6.70,2.77,9,1,,,,,,
Befreiung,27,7.81,2.48,30,6.63,3.16,23,4.35,2.89,9,4,,,,,,
Befugnis,22,5.00,2.31,30,2.93,2.39,29,3.93,3.12,8,1,,,,,,
Begabung,19,7.42,1.89,33,4.76,2.66,29,4.76,3.07,8,4,,,,,,
Begebenheit,21,5.33,1.24,27,2.52,2.26,19,3.79,1.99,11,1,,,,,,
Begegnung,33,7.36,2.03,26,5.38,2.74,32,5.78,2.79,9,4,,,,,,
Begeisterung,22,8.86,1.39,21,6.57,2.62,17,5.12,2.96,12,4,,,,,,
Beginn,35,6.60,2.29,18,4.67,3.38,20,5.65,3.88,6,4,,,,,,
Begleiter,27,6.44,2.14,15,3.80,2.68,26,7.77,2.45,9,3,,,,,,
Begleitung,31,7.13,1.23,24,3.50,2.19,19,6.95,2.27,10,4,,,,,,
Begnadigung,21,6.90,1.58,31,5.94,2.77,15,4.47,3.25,11,4,,,,,,
Begrenzung,34,3.85,1.58,24,4.08,2.38,11,8.00,1.79,10,3,,,,,,
Begriff,20,5.55,1.64,23,1.78,2.00,31,4.55,3.77,7,1,,,,,,
Begründer,28,6.00,1.47,30,2.33,2.12,21,5.00,3.18,9,1,,,,,,
Begründung,25,5.24,2.01,18,3.17,2.15,21,4.86,3.48,10,1,,,,,,
Begrüßung,28,6.86,1.96,17,4.41,2.06,24,7.29,2.66,9,4,,,,,,
Behandlung,26,4.46,1.50,21,3.38,2.22,23,4.48,2.73,10,1,,,,,,
Beherrschung,18,3.94,2.65,23,5.17,2.69,21,6.00,2.47,12,2,,,,,,
Behörde,26,2.54,1.75,35,4.00,2.94,23,7.04,2.79,7,2,,,,,,
Beifall,31,7.45,1.61,32,4.84,2.94,24,8.38,1.81,7,4,,,,,,
Beihilfe,29,4.00,2.35,31,4.19,2.88,20,2.95,2.35,8,1,,,,,,
Beil,22,3.09,1.63,25,4.52,2.83,15,9.40,1.40,4,2,,,,,,
Bein,29,5.59,1.38,28,2.14,2.90,28,9.57,0.74,4,3,,,,,,
Beispiel,31,5.26,1.83,23,2.00,1.98,24,5.17,3.41,8,1,,,,,,
Beitrag,27,5.59,2.21,21,3.00,2.49,19,4.74,2.70,7,1,,,,,,
Bekämpfung,23,2.83,1.92,28,6.39,2.41,20,6.35,2.74,10,2,,,,,,
Bekenntnis,23,4.91,2.31,32,5.06,2.84,19,3.89,2.64,10,1,,,,,,
Belastung,33,2.52,1.72,32,6.03,2.75,19,5.79,3.49,9,2,,,,,,
Belegung,22,3.91,1.51,28,2.21,2.54,17,3.00,2.35,8,1,,,,,,
Beleidigung,23,2.39,1.88,20,6.25,3.11,23,5.65,2.92,11,2,,,,,,
Bemerkung,25,5.24,1.79,21,3.33,2.01,34,4.71,3.00,9,1,,,,,,
Bemühung,24,5.38,2.02,21,3.86,2.37,9,3.89,3.06,8,1,,,,,,
Benachteiligung,23,2.13,2.53,33,5.30,2.63,24,3.83,2.53,15,2,,,,,,
Benennung,26,5.15,2.03,20,1.65,2.25,29,4.41,3.71,9,1,,,,,,
Benutzung,31,5.58,1.69,26,2.65,2.50,25,4.76,3.22,9,1,,,,,,
Benzin,18,3.50,2.36,26,3.58,2.74,11,8.36,2.54,6,3,,,,,,
Beobachtung,30,6.23,1.92,27,4.19,2.87,19,5.42,2.87,11,4,,,,,,
Beratung,16,5.69,2.24,26,2.88,2.50,21,5.67,2.71,8,1,,,,,,
Berechnung,24,4.50,2.09,30,2.57,2.39,26,4.69,2.59,10,1,,,,,,
Berechtigung,23,4.70,2.36,22,3.55,2.72,16,3.94,3.51,12,1,,,,,,
Bereich,37,4.97,1.79,32,1.44,1.93,21,5.33,2.85,7,1,,,,,,
Bereinigung,30,4.90,2.55,26,3.00,2.67,18,4.72,3.46,11,1,,,,,,
Bereitschaft,31,6.84,1.83,25,4.76,2.17,19,4.58,2.97,12,4,,,,,,
Berg,31,6.19,2.55,19,2.68,2.71,24,9.17,1.20,4,3,,,,,,
Bergung,24,4.21,2.87,30,5.30,2.87,19,5.05,3.24,7,2,,,,,,
Bericht,33,4.85,1.62,29,2.17,2.87,18,6.11,2.47,7,1,,,,,,
Berücksichtigung,22,6.50,2.02,27,2.74,2.44,19,2.89,2.79,16,1,,,,,,
Beruf,22,6.45,2.26,24,3.88,3.03,25,7.12,2.88,5,4,,,,,,
Beschaffenheit,30,5.57,1.63,27,2.22,2.21,26,3.96,2.84,14,1,,,,,,
Beschaffung,33,4.88,1.78,30,2.77,2.33,22,3.86,2.82,11,1,,,,,,
Beschäftigung,26,6.19,1.94,21,4.52,1.94,15,5.13,3.09,13,4,,,,,,
Bescheid,22,4.91,1.87,24,4.00,3.23,24,4.79,3.36,8,1,,,,,,
Bescheinigung,31,4.71,2.25,29,3.03,2.28,27,5.96,3.22,13,1,,,,,,
Beschluss,27,4.93,1.54,31,3.61,2.58,28,4.29,2.58,9,1,,,,,,
